"日期","收入预估~iPad"
"2023-10-29","33229"
"2023-10-28","35041"
"2023-10-27","35152"
"2023-10-26","38413"
"2023-10-25","55110"
"2023-10-24","25058"
"2023-10-23","31141"
"2023-10-22","25164"
"2023-10-21","22474"
"2023-10-20","19805"
"2023-10-19","19443"
"2023-10-18","22400"
"2023-10-17","33639"
"2023-10-16","27919"
"2023-10-15","23700"
"2023-10-14","25228"
"2023-10-13","32405"
"2023-10-12","22165"
"2023-10-11","25292"
"2023-10-10","22558"
"2023-10-09","23815"
"2023-10-08","23127"
"2023-10-07","22383"
"2023-10-06","21371"
"2023-10-05","19571"
"2023-10-04","22426"
"2023-10-03","27869"
"2023-10-02","27977"
"2023-10-01","27864"
"2023-09-30","25058"
"2023-09-29","35177"
"2023-09-28","34844"
"2023-09-27","17927"
"2023-09-26","23651"
"2023-09-25","25216"
"2023-09-24","31648"
"2023-09-23","32380"
"2023-09-22","34844"
"2023-09-21","18995"
"2023-09-20","22553"
"2023-09-19","33402"
"2023-09-18","33024"
"2023-09-17","22429"
"2023-09-16","22518"
"2023-09-15","22176"
"2023-09-14","19653"
"2023-09-13","23420"
"2023-09-12","31614"
"2023-09-11","32216"
"2023-09-10","23876"
"2023-09-09","33028"
"2023-09-08","32900"
"2023-09-07","22455"
"2023-09-06","22558"
"2023-09-05","24648"
"2023-09-04","29950"
"2023-09-03","24748"
"2023-09-02","31353"
"2023-09-01","28654"
"2023-08-31","25200"
"2023-08-30","29344"
"2023-08-29","33173"
"2023-08-28","37029"
"2023-08-27","34970"
"2023-08-26","34993"
"2023-08-25","32844"
"2023-08-24","27088"
"2023-08-23","33418"
"2023-08-22","32789"
"2023-08-21","25270"
"2023-08-20","22361"
"2023-08-19","22449"
"2023-08-18","23045"
"2023-08-17","19655"
"2023-08-16","23461"
"2023-08-15","30394"
"2023-08-14","32904"
"2023-08-13","23630"
"2023-08-12","25936"
"2023-08-11","30292"
"2023-08-10","22421"
"2023-08-09","18240"
"2023-08-08","19524"
"2023-08-07","20428"
"2023-08-06","18910"
"2023-08-05","21165"
"2023-08-04","22330"
"2023-08-03","18830"
"2023-08-02","22482"
"2023-08-01","23652"
"2023-07-31","27818"
"2023-07-30","22541"
"2023-07-29","23790"
"2023-07-28","22538"
"2023-07-27","22452"
"2023-07-26","22646"
"2023-07-25","33399"
"2023-07-24","44949"
"2023-07-23","44984"
"2023-07-22","54838"
"2023-07-21","35846"
"2023-07-20","24033"
"2023-07-19","29485"
"2023-07-18","20135"
"2023-07-17","22550"
"2023-07-16","23552"
"2023-07-15","22423"
"2023-07-14","24373"
"2023-07-13","17808"
"2023-07-12","22457"
"2023-07-11","22371"
"2023-07-10","27846"
"2023-07-09","23595"
"2023-07-08","23684"
"2023-07-07","23034"
"2023-07-06","21291"
"2023-07-05","22345"
"2023-07-04","25225"
"2023-07-03","29946"
"2023-07-02","30215"
"2023-07-01","34539"
"2023-06-30","31560"
"2023-06-29","41557"
"2023-06-28","31224"
"2023-06-27","23700"
"2023-06-26","24472"
"2023-06-25","23228"
"2023-06-24","21441"
"2023-06-23","31395"
"2023-06-22","44783"
"2023-06-21","54807"
"2023-06-20","33350"
"2023-06-19","44885"
"2023-06-18","44906"
"2023-06-17","45060"
"2023-06-16","29943"
"2023-06-15","22429"
"2023-06-14","38464"
"2023-06-13","45166"
"2023-06-12","45104"
"2023-06-11","32699"
"2023-06-10","24752"
"2023-06-09","29307"
"2023-06-08","20412"
"2023-06-07","32856"
"2023-06-06","23662"
"2023-06-05","27847"
"2023-06-04","27860"
"2023-06-03","25974"
"2023-06-02","31468"
"2023-06-01","30587"
"2023-05-31","30572"
"2023-05-30","44988"
"2023-05-29","45035"
"2023-05-28","33546"
"2023-05-27","54819"
"2023-05-26","41421"
"2023-05-25","23462"
"2023-05-24","31429"
"2023-05-23","32822"
"2023-05-22","34942"
"2023-05-21","30309"
"2023-05-20","34987"
"2023-05-19","41765"
"2023-05-18","22514"
"2023-05-17","22466"
"2023-05-16","21553"
"2023-05-15","20697"
"2023-05-14","23703"
"2023-05-13","33014"
"2023-05-12","35055"
"2023-05-11","31406"
"2023-05-10","35010"
"2023-05-09","20489"
"2023-05-08","19615"
"2023-05-07","21058"
"2023-05-06","22429"
"2023-05-05","27978"
"2023-05-04","24079"
"2023-05-03","23118"
"2023-05-02","23695"
"2023-05-01","23026"
"2023-04-30","24020"
"2023-04-29","35482"
"2023-04-28","37686"
"2023-04-27","14226"
"2023-04-26","18695"
"2023-04-25","20330"
"2023-04-24","22489"
"2023-04-23","25226"
"2023-04-22","23769"
"2023-04-21","23815"
"2023-04-20","13391"
"2023-04-19","2058"
"2023-04-18","2009"
"2023-04-17","2039"
"2023-04-16","25817"
"2023-04-15","35130"
"2023-04-14","32956"
"2023-04-13","16084"
"2023-04-12","21056"
"2023-04-11","21172"
"2023-04-10","21012"
"2023-04-09","17188"
"2023-04-08","19448"
"2023-04-07","34144"
"2023-04-06","45376"
"2023-04-05","45625"
"2023-04-04","45045"
"2023-04-03","44735"
"2023-04-02","44872"
"2023-04-01","44681"
"2023-03-31","128552"
"2023-03-30","34141"
"2023-03-29","44759"
"2023-03-28","34201"
"2023-03-27","30161"
"2023-03-26","45516"
"2023-03-25","44981"
"2023-03-24","9311"
"2023-03-23","15407"
"2023-03-22","18659"
"2023-03-21","21166"
"2023-03-20","21058"
"2023-03-19","30316"
"2023-03-18","39569"
"2023-03-17","45049"
"2023-03-16","26140"
"2023-03-15","21137"
"2023-03-14","21127"
"2023-03-13","17238"
"2023-03-12","21160"
"2023-03-11","20196"
