"日期","收入预估~iPad"
"2024-02-25","119953"
"2024-02-24","120912"
"2024-02-23","120587"
"2024-02-22","121452"
"2024-02-21","120380"
"2024-02-20","119407"
"2024-02-19","120311"
"2024-02-18","121014"
"2024-02-17","120300"
"2024-02-16","119988"
"2024-02-15","120970"
"2024-02-14","120530"
"2024-02-13","119755"
"2024-02-12","120429"
"2024-02-11","117053"
"2024-02-10","116963"
"2024-02-09","120289"
"2024-02-08","120061"
"2024-02-07","120502"
"2024-02-06","120725"
"2024-02-05","120806"
"2024-02-04","120563"
"2024-02-03","120286"
"2024-02-02","117365"
"2024-02-01","113644"
"2024-01-31","117565"
"2024-01-30","117074"
"2024-01-29","116955"
"2024-01-28","115445"
"2024-01-27","115491"
"2024-01-26","119987"
"2024-01-25","120383"
"2024-01-24","120071"
"2024-01-23","120867"
"2024-01-22","120598"
"2024-01-21","120908"
"2024-01-20","119974"
"2024-01-19","120785"
"2024-01-18","120690"
"2024-01-17","121243"
"2024-01-16","120265"
"2024-01-15","120330"
"2024-01-14","120183"
"2024-01-13","120542"
"2024-01-12","113646"
"2024-01-11","117404"
"2024-01-10","120304"
"2024-01-09","120406"
"2024-01-08","119708"
"2024-01-07","187057"
"2024-01-06","186817"
"2024-01-05","187403"
"2024-01-04","177406"
"2024-01-03","176315"
"2024-01-02","177250"
"2024-01-01","177832"
"2023-12-31","120279"
"2023-12-30","120854"
"2023-12-29","120410"
"2023-12-28","120883"
"2023-12-27","121287"
"2023-12-26","120780"
"2023-12-25","120438"
"2023-12-24","120322"
"2023-12-23","120384"
"2023-12-22","120532"
"2023-12-21","115424"
"2023-12-20","99550"
"2023-12-19","117351"
"2023-12-18","117448"
"2023-12-17","120786"
"2023-12-16","120303"
"2023-12-15","116923"
"2023-12-14","117394"
"2023-12-13","121004"
"2023-12-12","120529"
"2023-12-11","120494"
"2023-12-10","120444"
"2023-12-09","120806"
"2023-12-08","117762"
"2023-12-07","117236"
"2023-12-06","88945"
"2023-12-05","117435"
"2023-12-04","116821"
"2023-12-03","86808"
"2023-12-02","120458"
"2023-12-01","119743"
"2023-11-30","117614"
"2023-11-29","116782"
"2023-11-28","117406"
"2023-11-27","121009"
"2023-11-26","119925"
"2023-11-25","120431"
"2023-11-24","120797"
"2023-11-23","115251"
"2023-11-22","117227"
"2023-11-21","117411"
"2023-11-20","117841"
"2023-11-19","119706"
"2023-11-18","121316"
"2023-11-17","117224"
"2023-11-16","117309"
"2023-11-15","120169"
"2023-11-14","120414"
"2023-11-13","120155"
"2023-11-12","120404"
"2023-11-11","120633"
"2023-11-10","120810"
"2023-11-09","88045"
"2023-11-08","117886"
"2023-11-07","119486"
"2023-11-06","120173"
"2023-11-05","120380"
"2023-11-04","120565"
"2023-11-03","117366"
"2023-11-02","116181"
"2023-11-01","116168"
"2023-10-31","117212"
"2023-10-30","117828"
"2023-10-29","120188"
"2023-10-28","120690"
"2023-10-27","120966"
"2023-10-26","117708"
"2023-10-25","120869"
"2023-10-24","121405"
"2023-10-23","120720"
"2023-10-22","120070"
"2023-10-21","120718"
"2023-10-20","120061"
"2023-10-19","113751"
"2023-10-18","114551"
"2023-10-17","116818"
"2023-10-16","121083"
"2023-10-15","121316"
"2023-10-14","120317"
"2023-10-13","117886"
"2023-10-12","114302"
"2023-10-11","114147"
"2023-10-10","117578"
"2023-10-09","117525"
"2023-10-08","117395"
"2023-10-07","116919"
"2023-10-06","117171"
"2023-10-05","116784"
"2023-10-04","120523"
"2023-10-03","120011"
"2023-10-02","119925"
"2023-10-01","120171"
"2023-09-30","120447"
"2023-09-29","121263"
"2023-09-28","115247"
"2023-09-27","117225"
"2023-09-26","119853"
"2023-09-25","120718"
"2023-09-24","120377"
"2023-09-23","121162"
"2023-09-22","119756"
"2023-09-21","114346"
"2023-09-20","86223"
"2023-09-19","117278"
"2023-09-18","117289"
"2023-09-17","120474"
