"日期","收入预估~iPad"
"2023-02-14","57013"
"2023-02-13","56586"
"2023-02-12","60191"
"2023-02-11","60438"
"2023-02-10","128142"
"2023-02-09","128744"
"2023-02-08","56914"
"2023-02-07","56517"
"2023-02-06","56637"
"2023-02-05","79191"
"2023-02-04","79565"
"2023-02-03","128245"
"2023-02-02","176542"
"2023-02-01","176735"
"2023-01-31","57020"
"2023-01-30","79198"
"2023-01-29","78935"
"2023-01-28","79048"
"2023-01-27","79334"
"2023-01-26","79066"
"2023-01-25","79410"
"2023-01-24","78915"
"2023-01-23","79641"
"2023-01-22","79344"
"2023-01-21","78963"
"2023-01-20","62487"
"2023-01-19","60163"
"2023-01-18","60522"
"2023-01-17","60101"
"2023-01-16","60448"
"2023-01-15","60612"
"2023-01-14","128300"
"2023-01-13","79310"
"2023-01-12","60553"
"2023-01-11","79165"
"2023-01-10","61796"
"2023-01-09","56959"
"2023-01-08","62027"
"2023-01-07","62123"
"2023-01-06","60475"
"2023-01-05","60447"
"2023-01-04","60111"
"2023-01-03","60146"
"2023-01-02","60492"
"2023-01-01","55828"
"2022-12-31","128474"
"2022-12-30","56785"
"2022-12-29","71246"
"2022-12-28","63976"
"2022-12-27","47170"
"2022-12-26","34203"
"2022-12-25","34359"
"2022-12-24","34292"
"2022-12-23","28025"
"2022-12-22","30031"
"2022-12-21","34444"
"2022-12-20","45658"
"2022-12-19","30285"
"2022-12-18","25847"
"2022-12-17","26080"
"2022-12-16","24495"
"2022-12-15","19268"
"2022-12-14","34460"
"2022-12-13","20991"
"2022-12-12","19162"
"2022-12-11","17574"
"2022-12-10","25846"
"2022-12-09","21443"
"2022-12-08","28083"
"2022-12-07","34246"
"2022-12-06","34248"
"2022-12-05","34419"
"2022-12-04","47265"
"2022-12-03","47540"
"2022-12-02","11322"
"2022-12-01","14976"
"2022-11-30","11985"
"2022-11-29","8701"
"2022-11-28","10900"
"2022-11-27","10806"
"2022-11-26","10677"
"2022-11-25","6864"
"2022-11-24","10311"
"2022-11-23","12419"
"2022-11-22","6714"
"2022-11-21","8469"
"2022-11-20","7196"
"2022-11-19","8473"
"2022-11-18","5661"
"2022-11-17","5648"
"2022-11-16","4682"
