"日期","下载量预估~iPhone"
"2023-03-06","112744"
"2023-03-05","113203"
"2023-03-04","113126"
"2023-03-03","112953"
"2023-03-02","113625"
"2023-03-01","113350"
"2023-02-28","113286"
"2023-02-27","113333"
"2023-02-26","109759"
"2023-02-25","109544"
"2023-02-24","110078"
"2023-02-23","113471"
"2023-02-22","112923"
"2023-02-21","112831"
"2023-02-20","112469"
"2023-02-19","112977"
"2023-02-18","112690"
"2023-02-17","113011"
"2023-02-16","112195"
"2023-02-15","112660"
"2023-02-14","112435"
"2023-02-13","112783"
"2023-02-12","113060"
"2023-02-11","113028"
"2023-02-10","113110"
"2023-02-09","113407"
"2023-02-08","112732"
"2023-02-07","112978"
"2023-02-06","112749"
"2023-02-05","113152"
"2023-02-04","112841"
"2023-02-03","112218"
"2023-02-02","112959"
"2023-02-01","112514"
"2023-01-31","112587"
"2023-01-30","113354"
"2023-01-29","113310"
"2023-01-28","112862"
"2023-01-27","113260"
"2023-01-26","112678"
"2023-01-25","113326"
"2023-01-24","112959"
"2023-01-23","113364"
"2023-01-22","112397"
"2023-01-21","112380"
"2023-01-20","113268"
"2023-01-19","112383"
"2023-01-18","112223"
"2023-01-17","113091"
"2023-01-16","113427"
"2023-01-15","112813"
"2023-01-14","113019"
"2023-01-13","113825"
"2023-01-12","112902"
"2023-01-11","112437"
"2023-01-10","113070"
"2023-01-09","113060"
"2023-01-08","113054"
"2023-01-07","112761"
"2023-01-06","112535"
"2023-01-05","113292"
"2023-01-04","113699"
"2023-01-03","113785"
"2023-01-02","112937"
"2023-01-01","112932"
"2022-12-31","113111"
"2022-12-30","112202"
"2022-12-29","112823"
"2022-12-28","113817"
"2022-12-27","113259"
"2022-12-26","113300"
"2022-12-25","112766"
"2022-12-24","113443"
"2022-12-23","109901"
"2022-12-22","112742"
"2022-12-21","113400"
"2022-12-20","112699"
"2022-12-19","112913"
"2022-12-18","113210"
"2022-12-17","112768"
"2022-12-16","113007"
"2022-12-15","110172"
"2022-12-14","110588"
"2022-12-13","113730"
"2022-12-12","113514"
"2022-12-11","113225"
"2022-12-10","113051"
"2022-12-09","113488"
"2022-12-08","113461"
"2022-12-07","112792"
"2022-12-06","113209"
"2022-12-05","113417"
"2022-12-04","113576"
"2022-12-03","113619"
"2022-12-02","112976"
"2022-12-01","110290"
"2022-11-30","108787"
"2022-11-29","107294"
"2022-11-28","107221"
"2022-11-27","96448"
"2022-11-26","91079"
"2022-11-25","42886"
"2022-11-24","44778"
"2022-11-23","56422"
"2022-11-22","49066"
"2022-11-21","58636"
"2022-11-20","50622"
"2022-11-19","43926"
"2022-11-18","43368"
"2022-11-17","74789"
"2022-11-16","43621"
"2022-11-15","47404"
"2022-11-14","58830"
"2022-11-13","58786"
"2022-11-12","58476"
"2022-11-11","42744"
"2022-11-10","39477"
"2022-11-09","40900"
"2022-11-08","42066"
"2022-11-07","33172"
"2022-11-06","42344"
"2022-11-05","33371"
"2022-11-04","46142"
"2022-11-03","42595"
"2022-11-02","50698"
"2022-11-01","44488"
"2022-10-31","28268"
"2022-10-30","32336"
"2022-10-29","33379"
"2022-10-28","30164"
"2022-10-27","31541"
"2022-10-26","30055"
"2022-10-25","27743"
"2022-10-24","31425"
"2022-10-23","29293"
"2022-10-22","28175"
"2022-10-21","29878"
"2022-10-20","28629"
"2022-10-19","29962"
"2022-10-18","32780"
"2022-10-17","42489"
"2022-10-16","34645"
"2022-10-15","30484"
"2022-10-14","30503"
"2022-10-13","30669"
"2022-10-12","32736"
"2022-10-11","38188"
"2022-10-10","29879"
"2022-10-09","26097"
"2022-10-08","33805"
"2022-10-07","39800"
"2022-10-06","27769"
"2022-10-05","30896"
"2022-10-04","29184"
"2022-10-03","29595"
"2022-10-02","28963"
"2022-10-01","31716"
"2022-09-30","29656"
"2022-09-29","26244"
"2022-09-28","30648"
"2022-09-27","25867"
"2022-09-26","32001"
"2022-09-25","31806"
"2022-09-24","25171"
"2022-09-23","32611"
"2022-09-22","29014"
"2022-09-21","42348"
"2022-09-20","40554"
"2022-09-19","39603"
"2022-09-18","40011"
"2022-09-17","42724"
"2022-09-16","51106"
"2022-09-15","108820"
"2022-09-14","108901"
"2022-09-13","108269"
"2022-09-12","108660"
"2022-09-11","108930"
"2022-09-10","108791"
"2022-09-09","108218"
"2022-09-08","108649"
"2022-09-07","108286"
"2022-09-06","108545"
"2022-09-05","110094"
"2022-09-04","110210"
"2022-09-03","110354"
"2022-09-02","109811"
"2022-09-01","42089"
"2022-08-31","32054"
"2022-08-30","45227"
"2022-08-29","45948"
"2022-08-28","46739"
"2022-08-27","45704"
"2022-08-26","90765"
"2022-08-25","44414"
"2022-08-24","90920"
"2022-08-23","76894"
"2022-08-22","74518"
"2022-08-21","91068"
"2022-08-20","46648"
"2022-08-19","58910"
"2022-08-18","50448"
"2022-08-17","43728"
"2022-08-16","42343"
"2022-08-15","58708"
"2022-08-14","49353"
"2022-08-13","50450"
"2022-08-12","46881"
"2022-08-11","108569"
"2022-08-10","113012"
"2022-08-09","112812"
"2022-08-08","112671"
"2022-08-07","19039"
"2022-08-06","19325"
"2022-08-05","20728"
"2022-08-04","25448"
"2022-08-03","28792"
"2022-08-02","27065"
"2022-08-01","23952"
"2022-07-31","27924"
"2022-07-30","30875"
"2022-07-29","35244"
"2022-07-28","42647"
"2022-07-27","30110"
"2022-07-26","25041"
"2022-07-25","29944"
"2022-07-24","36400"
"2022-07-23","43596"
"2022-07-22","58649"
"2022-07-21","37332"
"2022-07-20","42465"
"2022-07-19","29515"
"2022-07-18","26097"
"2022-07-17","28239"
"2022-07-16","22198"
"2022-07-15","18893"
"2022-07-14","17982"
"2022-07-13","13026"
"2022-07-12","12812"
"2022-07-11","18906"
"2022-07-10","19956"
"2022-07-09","20939"
"2022-07-08","23658"
"2022-07-07","26712"
"2022-07-06","29691"
"2022-07-05","32619"
"2022-07-04","34437"
"2022-07-03","30779"
"2022-07-02","17087"
"2022-07-01","18835"
"2022-06-30","18051"
"2022-06-29","17962"
"2022-06-28","17394"
"2022-06-27","17104"
"2022-06-26","17807"
"2022-06-25","17982"
"2022-06-24","18177"
"2022-06-23","17963"
"2022-06-22","18163"
"2022-06-21","18195"
"2022-06-20","18857"
"2022-06-19","19044"
"2022-06-18","18579"
"2022-06-17","18986"
"2022-06-16","19794"
"2022-06-15","19669"
"2022-06-14","20711"
"2022-06-13","23169"
"2022-06-12","23915"
"2022-06-11","23294"
"2022-06-10","23586"
"2022-06-09","26325"
"2022-06-08","27935"
"2022-06-07","31422"
"2022-06-06","45364"
"2022-06-05","49891"
"2022-06-04","59808"
"2022-06-03","69716"
"2022-06-02","83031"
"2022-06-01","135757"
"2022-05-31","320570"
"2022-05-30","433268"
"2022-05-29","437496"
"2022-05-28","436779"
"2022-05-27","180032"
"2022-05-26","0"
"2022-05-25",""
"2022-05-24",""
"2022-05-23",""
"2022-05-22",""
"2022-05-21",""
"2022-05-20",""
"2022-05-19",""
"2022-05-18",""
"2022-05-17",""
"2022-05-16",""
"2022-05-15",""
"2022-05-14",""
"2022-05-13",""
"2022-05-12",""
"2022-05-11",""
"2022-05-10",""
"2022-05-09",""
"2022-05-08",""
"2022-05-07",""
"2022-05-06",""
"2022-05-05",""
"2022-05-04",""
"2022-05-03",""
"2022-05-02",""
"2022-05-01",""
"2022-04-30",""
"2022-04-29",""
"2022-04-28",""
"2022-04-27",""
"2022-04-26",""
"2022-04-25",""
"2022-04-24",""
"2022-04-23",""
"2022-04-22",""
"2022-04-21",""
"2022-04-20",""
"2022-04-19",""
"2022-04-18",""
"2022-04-17",""
"2022-04-16",""
"2022-04-15",""
"2022-04-14",""
"2022-04-13",""
"2022-04-12",""
"2022-04-11",""
"2022-04-10",""
"2022-04-09",""
"2022-04-08",""
"2022-04-07",""
"2022-04-06",""
"2022-04-05",""
"2022-04-04",""
"2022-04-03",""
"2022-04-02",""
"2022-04-01",""
"2022-03-31",""
"2022-03-30",""
"2022-03-29",""
"2022-03-28",""
"2022-03-27",""
"2022-03-26",""
"2022-03-25",""
"2022-03-24",""
"2022-03-23",""
"2022-03-22",""
"2022-03-21",""
"2022-03-20",""
"2022-03-19",""
"2022-03-18",""
"2022-03-17",""
"2022-03-16",""
"2022-03-15",""
"2022-03-14",""
"2022-03-13",""
"2022-03-12",""
"2022-03-11",""
