Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
0.022498433,0.02349078,0.022770146,0.90899664,0.022243995
0.0018396591,0.72703135,0.020671194,0.22655717,0.023900602
0.0078790495,0.48139825,0.0077963434,0.49518538,0.007740995
0.022464374,0.02293626,0.4453854,0.48683363,0.02238029
0.015861528,0.6201375,0.00045057083,0.36311164,0.00043877377
0.025221234,0.39815417,0.02522525,0.52618855,0.025210822
0.02881731,0.028821424,0.028685324,0.8850654,0.028610533
0.011111843,0.9553494,0.011113484,0.011145196,0.011280115
0.33687237,0.6023167,0.020226628,0.020553263,0.020031074
0.0096350005,0.54058677,0.009618747,0.43055475,0.009604779
0.20065555,0.0157057,0.75249124,0.015761673,0.015385854
0.015624702,0.59521234,0.20845672,0.16530941,0.015396861
0.010521568,0.010201675,0.9117684,0.010146594,0.05736185
0.07475325,0.010151783,0.8949666,0.01012648,0.010001901
0.011433127,0.011179777,0.9551553,0.011120126,0.011111576
0.18352795,0.009142777,0.789134,0.009103528,0.009091732
0.009334468,0.10941095,0.8395548,0.009181666,0.03251813
0.01539585,0.810749,0.015398246,0.14292963,0.015527289
0.04040562,0.040346257,0.8384846,0.040763427,0.040000148
0.84237736,0.0062937094,0.13872549,0.006345805,0.006257659
0.010528767,0.9577666,0.010529118,0.01059706,0.010578499
0.0118037565,0.81531715,0.011824322,0.14919445,0.011860385
0.004960476,0.98022324,0.0049703456,0.0049665077,0.0048794798
0.012709532,0.49885258,0.012679433,0.46227282,0.013485594
0.00253549,0.5606232,0.036233354,0.3980843,0.002523632
0.0025711022,0.9330729,0.059210975,0.002575757,0.002569271
0.003531953,0.9094222,0.06221707,0.0034998092,0.021328969
0.008810293,0.14066589,0.17234808,0.6694787,0.0086970525
0.00496036,0.9802223,0.0049703894,0.004967508,0.0048794807
0.006812326,0.5085927,0.0068488657,0.36459497,0.11315114
0.010528519,0.010547329,0.010540195,0.010527888,0.95785606
0.0117647275,0.011790889,0.011782174,0.011766682,0.95289546
0.010528517,0.010546953,0.010540151,0.010527886,0.9578565
