"日期","1星","2星","3星","4星","5星"
"2021-11-12","325","13","16","29","146"
"2021-11-13","567","35","43","30","308"
"2021-11-14","490","35","19","34","178"
"2021-11-15","181","18","18","18","-4"
"2021-11-16","284","19","16","15","93"
"2021-11-17","197","6","17","10","54"
"2021-11-18","175","7","17","5","67"
"2021-11-19","234","7","21","11","94"
"2021-11-20","479","24","30","29","214"
"2021-11-21","426","9","29","31","136"
"2021-11-22","194","16","10","9","50"
"2021-11-23","175","12","17","9","51"
"2021-11-24","177","6","10","4","62"
"2021-11-25","161","9","8","20","65"
"2021-11-26","285","69","89","66","165"
"2021-11-27","539","27","25","9","160"
"2021-11-28","397","17","24","21","128"
"2021-11-29","197","17","6","8","42"
"2021-11-30","117","-45","-65","-31","-16"
"2021-12-01","206","55","76","44","135"
"2021-12-02","197","3","17","1","63"
"2021-12-03","207","10","12","7","82"
"2021-12-04","547","18","27","18","178"
"2021-12-05","383","8","23","11","130"
"2021-12-06","187","9","13","5","77"
"2021-12-07","173","16","15","12","51"
"2021-12-08","168","10","12","10","45"
"2021-12-09","188","8","22","4","54"
"2021-12-10","298","7","22","13","88"
"2021-12-11","390","13","15","12","138"
"2021-12-12","420","22","25","19","98"
"2021-12-13","170","15","10","8","45"
"2021-12-14","185","8","11","12","51"
"2021-12-15","191","10","15","9","63"
"2021-12-16","144","9","10","10","70"
"2021-12-17","189","20","5","15","66"
"2021-12-18","385","32","30","23","158"
"2021-12-19","394","14","25","14","107"
"2021-12-20","129","8","9","5","58"
"2021-12-21","174","5","11","14","63"
"2021-12-22","141","4","6","4","57"
"2021-12-23","161","13","14","9","72"
"2021-12-24","200","2","8","14","70"
"2021-12-25","363","19","29","22","149"
"2021-12-26","309","11","38","25","112"
"2021-12-27","144","6","20","4","42"
"2021-12-28","175","12","8","10","53"
"2021-12-29","180","6","7","8","74"
"2021-12-30","142","10","18","13","48"
"2021-12-31","285","19","20","13","77"
"2022-01-01","2005","92","70","20","167"
"2022-01-02","945","38","48","27","186"
"2022-01-03","470","18","13","15","111"
"2022-01-04","176","13","16","10","54"
"2022-01-05","288","10","11","12","69"
"2022-01-06","2146","223","280","153","984"
"2022-01-07","1437","165","163","99","544"
"2022-01-08","1360","123","135","51","462"
"2022-01-09","888","57","58","34","208"
"2022-01-10","568","28","31","28","112"
"2022-01-11","567","26","28","19","99"
"2022-01-12","627","37","33","15","127"
"2022-01-13","563","27","33","27","108"
"2022-01-14","701","40","37","24","160"
"2022-01-15","811","29","53","23","134"
"2022-01-16","724","28","30","20","126"
"2022-01-17","1005","56","57","32","168"
"2022-01-18","1048","58","37","40","155"
"2022-01-19","743","21","55","27","152"
"2022-01-20","643","48","43","24","176"
"2022-01-21","669","45","54","29","159"
"2022-01-22","835","41","43","48","183"
