"日期","下载量预估~iPhone"
"2023-03-20","63400"
"2023-03-19","45437"
"2023-03-18","42881"
"2023-03-17","57740"
"2023-03-16","45891"
"2023-03-15","44543"
"2023-03-14","50599"
"2023-03-13","44692"
"2023-03-12","50709"
"2023-03-11","53124"
"2023-03-10","45498"
"2023-03-09","45898"
"2023-03-08","58750"
"2023-03-07","46715"
"2023-03-06","48576"
"2023-03-05","37033"
"2023-03-04","43529"
"2023-03-03","42977"
"2023-03-02","42533"
"2023-03-01","43284"
"2023-02-28","42660"
"2023-02-27","58726"
"2023-02-26","42990"
"2023-02-25","58801"
"2023-02-24","52095"
"2023-02-23","39681"
"2023-02-22","74765"
"2023-02-21","42350"
"2023-02-20","47766"
"2023-02-19","58565"
"2023-02-18","53111"
"2023-02-17","54513"
"2023-02-16","58568"
"2023-02-15","60460"
"2023-02-14","44894"
"2023-02-13","50791"
"2023-02-12","49315"
"2023-02-11","34851"
"2023-02-10","42540"
"2023-02-09","50578"
"2023-02-08","40077"
"2023-02-07","42531"
"2023-02-06","42469"
"2023-02-05","45005"
"2023-02-04","37609"
"2023-02-03","41273"
"2023-02-02","42536"
"2023-02-01","38542"
"2023-01-31","41050"
"2023-01-30","38200"
"2023-01-29","36072"
"2023-01-28","20407"
"2023-01-27","39645"
"2023-01-26","36347"
"2023-01-25","33863"
"2023-01-24","36329"
"2023-01-23","31566"
"2023-01-22","42293"
"2023-01-21","43700"
"2023-01-20","50759"
"2023-01-19","43236"
"2023-01-18","46968"
"2023-01-17","56497"
"2023-01-16","42538"
"2023-01-15","42595"
"2023-01-14","41123"
"2023-01-13","42645"
"2023-01-12","28776"
"2023-01-11","40904"
"2023-01-10","36440"
"2023-01-09","34693"
"2023-01-08","31587"
"2023-01-07","33145"
"2023-01-06","27299"
"2023-01-05","32109"
"2023-01-04","28944"
"2023-01-03","34107"
"2023-01-02","41515"
"2023-01-01","33325"
"2022-12-31","31557"
"2022-12-30","33548"
"2022-12-29","31550"
"2022-12-28","36824"
"2022-12-27","40149"
"2022-12-26","37661"
"2022-12-25","39866"
"2022-12-24","42522"
"2022-12-23","36531"
"2022-12-22","42375"
"2022-12-21","45924"
"2022-12-20","38684"
"2022-12-19","58385"
"2022-12-18","50412"
"2022-12-17","58400"
"2022-12-16","37820"
"2022-12-15","44209"
"2022-12-14","49293"
"2022-12-13","55254"
"2022-12-12","76092"
"2022-12-11","76830"
"2022-12-10","90618"
"2022-12-09","32006"
"2022-12-08","27621"
"2022-12-07","16687"
"2022-12-06","18973"
"2022-12-05","27548"
"2022-12-04","28285"
"2022-12-03","30697"
"2022-12-02","26860"
"2022-12-01","30665"
"2022-11-30","28682"
"2022-11-29","26604"
"2022-11-28","25555"
"2022-11-27","25481"
"2022-11-26","23098"
"2022-11-25","24876"
"2022-11-24","28460"
"2022-11-23","23665"
"2022-11-22","30121"
"2022-11-21","29913"
"2022-11-20","26619"
"2022-11-19","31116"
"2022-11-18","31924"
"2022-11-17","35276"
"2022-11-16","36272"
"2022-11-15","40526"
"2022-11-14","36546"
"2022-11-13","37898"
"2022-11-12","40492"
"2022-11-11","39641"
"2022-11-10","31702"
"2022-11-09","28615"
"2022-11-08","33164"
"2022-11-07","31923"
"2022-11-06","33374"
"2022-11-05","34156"
"2022-11-04","40073"
"2022-11-03","31066"
"2022-11-02","28893"
"2022-11-01","41264"
"2022-10-31","26834"
"2022-10-30","34792"
"2022-10-29","41946"
"2022-10-28","39204"
"2022-10-27","40839"
"2022-10-26","37165"
