"日期","收入预估~iPad"
"2023-06-02","64588"
"2023-06-01","38509"
"2023-05-31","81315"
"2023-05-30","94427"
"2023-05-29","94318"
"2023-05-28","94426"
"2023-05-27","104736"
"2023-05-26","114575"
"2023-05-25","120398"
"2023-05-24","70195"
"2023-05-23","57435"
"2023-05-22","54648"
"2023-05-21","54945"
"2023-05-20","42250"
"2023-05-19","81031"
"2023-05-18","74479"
"2023-05-17","94514"
"2023-05-16","68393"
"2023-05-15","54696"
"2023-05-14","54569"
"2023-05-13","54962"
"2023-05-12","41094"
"2023-05-11","59056"
"2023-05-10","114464"
"2023-05-09","114054"
"2023-05-08","115788"
"2023-05-07","116183"
"2023-05-06","114139"
"2023-05-05","115898"
"2023-05-04","117358"
"2023-05-03","119510"
"2023-05-02","116702"
"2023-05-01","38461"
"2023-04-30","74469"
"2023-04-29","64663"
"2023-04-28","76308"
"2023-04-27","47788"
"2023-04-26","98262"
"2023-04-25","117960"
"2023-04-24","117140"
"2023-04-23","115878"
"2023-04-22","115522"
"2023-04-21","117560"
"2023-04-20","116849"
"2023-04-19","5444"
"2023-04-18","5502"
"2023-04-17","5630"
"2023-04-16","119510"
"2023-04-15","120835"
"2023-04-14","120216"
"2023-04-13","50491"
"2023-04-12","50931"
"2023-04-11","50792"
"2023-04-10","50908"
"2023-04-09","50801"
"2023-04-08","50752"
"2023-04-07","50713"
"2023-04-06","50786"
"2023-04-05","50799"
"2023-04-04","50744"
"2023-04-03","50614"
"2023-04-02","50580"
"2023-04-01","50898"
"2023-03-31","50938"
"2023-03-30","50683"
"2023-03-29","50584"
"2023-03-28","50865"
"2023-03-27","50671"
"2023-03-26","50945"
"2023-03-25","50677"
"2023-03-24","53548"
"2023-03-23","50714"
"2023-03-22","50862"
"2023-03-21","50718"
"2023-03-20","50894"
"2023-03-19","50921"
"2023-03-18","50560"
"2023-03-17","50942"
"2023-03-16","50700"
"2023-03-15","50758"
"2023-03-14","50555"
"2023-03-13","50895"
"2023-03-12","50473"
"2023-03-11","50453"
"2023-03-10","50685"
"2023-03-09","50559"
"2023-03-08","50647"
"2023-03-07","50498"
"2023-03-06","50536"
"2023-03-05","50548"
"2023-03-04","50656"
"2023-03-03","50871"
"2023-03-02","50722"
"2023-03-01","50462"
"2023-02-28","50844"
"2023-02-27","50926"
"2023-02-26","50644"
"2023-02-25","50880"
"2023-02-24","50663"
"2023-02-23","50891"
"2023-02-22","50945"
"2023-02-21","50826"
"2023-02-20","50662"
"2023-02-19","50945"
"2023-02-18","50731"
"2023-02-17","50885"
"2023-02-16","50660"
"2023-02-15","50807"
"2023-02-14","53685"
"2023-02-13","50908"
"2023-02-12","50787"
"2023-02-11","50660"
"2023-02-10","50851"
"2023-02-09","50490"
"2023-02-08","53610"
"2023-02-07","53704"
"2023-02-06","53619"
"2023-02-05","53436"
"2023-02-04","53413"
"2023-02-03","53188"
"2023-02-02","50545"
"2023-02-01","50447"
"2023-01-31","50890"
"2023-01-30","50700"
"2023-01-29","50508"
"2023-01-28","50637"
"2023-01-27","50569"
"2023-01-26","50589"
"2023-01-25","50508"
"2023-01-24","50640"
"2023-01-23","50572"
"2023-01-22","50723"
"2023-01-21","53368"
"2023-01-20","53114"
"2023-01-19","53762"
"2023-01-18","53629"
"2023-01-17","53177"
"2023-01-16","53615"
"2023-01-15","50806"
"2023-01-14","50677"
"2023-01-13","50613"
"2023-01-12","50455"
"2023-01-11","50457"
"2023-01-10","50460"
"2023-01-09","50734"
"2023-01-08","50938"
"2023-01-07","50939"
"2023-01-06","50532"
"2023-01-05","50747"
"2023-01-04","50815"
"2023-01-03","50857"
"2023-01-02","50573"
"2023-01-01","50816"
"2022-12-31","53443"
"2022-12-30","53451"
"2022-12-29","53213"
"2022-12-28","53704"
"2022-12-27","53576"
"2022-12-26","50779"
"2022-12-25","50780"
"2022-12-24","53524"
"2022-12-23","50621"
"2022-12-22","50642"
"2022-12-21","50793"
"2022-12-20","50538"
"2022-12-19","50592"
"2022-12-18","50449"
"2022-12-17","50757"
"2022-12-16","50706"
"2022-12-15","50852"
"2022-12-14","53466"
"2022-12-13","53479"
"2022-12-12","53925"
"2022-12-11","53747"
"2022-12-10","53527"
"2022-12-09","53176"
"2022-12-08","50571"
"2022-12-07","50542"
"2022-12-06","50671"
"2022-12-05","50565"
"2022-12-04","53646"
"2022-12-03","53652"
"2022-12-02","50906"
"2022-12-01","50753"
"2022-11-30","53494"
"2022-11-29","53516"
"2022-11-28","53691"
"2022-11-27","53099"
"2022-11-26","50694"
"2022-11-25","50928"
"2022-11-24","50829"
"2022-11-23","50856"
"2022-11-22","50884"
"2022-11-21","50839"
"2022-11-20","50674"
"2022-11-19","50555"
"2022-11-18","53356"
"2022-11-17","50914"
"2022-11-16","50518"
"2022-11-15","50578"
"2022-11-14","50637"
"2022-11-13","50511"
"2022-11-12","50730"
"2022-11-11","50707"
"2022-11-10","50524"
"2022-11-09","53821"
"2022-11-08","53335"
"2022-11-07","53402"
"2022-11-06","53361"
"2022-11-05","53496"
"2022-11-04","53072"
"2022-11-03","53626"
"2022-11-02","53787"
"2022-11-01","50625"
"2022-10-31","50912"
"2022-10-30","94761"
"2022-10-29","0"
"2022-10-28","117426"
"2022-10-27","117039"
"2022-10-26","117589"
"2022-10-25","116142"
"2022-10-24","77096"
"2022-10-23","94669"
"2022-10-22","113581"
"2022-10-21","117547"
"2022-10-20","116701"
"2022-10-19","50862"
"2022-10-18","50615"
"2022-10-17","50470"
"2022-10-16","50548"
"2022-10-15","50505"
"2022-10-14","50732"
"2022-10-13","50878"
"2022-10-12","50674"
"2022-10-11","50790"
"2022-10-10","50938"
"2022-10-09","50626"
"2022-10-08","50487"
"2022-10-07","50742"
"2022-10-06","50507"
"2022-10-05","50634"
"2022-10-04","50632"
"2022-10-03","50630"
"2022-10-02","50479"
"2022-10-01","50606"
"2022-09-30","50556"
"2022-09-29","50529"
"2022-09-28","50741"
"2022-09-27","50580"
"2022-09-26","50570"
"2022-09-25","50734"
"2022-09-24","50819"
"2022-09-23","50674"
"2022-09-22","50876"
"2022-09-21","50831"
"2022-09-20","50776"
"2022-09-19","50697"
"2022-09-18","50919"
"2022-09-17","50553"
"2022-09-16","53538"
"2022-09-15","50810"
"2022-09-14","50870"
"2022-09-13","50670"
"2022-09-12","53922"
"2022-09-11","53226"
"2022-09-10","50877"
"2022-09-09","50612"
"2022-09-08","50939"
"2022-09-07","50680"
"2022-09-06","50801"
"2022-09-05","50763"
"2022-09-04","50800"
"2022-09-03","50704"
"2022-09-02","50684"
"2022-09-01","50615"
"2022-08-31","50667"
"2022-08-30","50549"
"2022-08-29","50786"
"2022-08-28","50676"
"2022-08-27","53367"
"2022-08-26","53433"
"2022-08-25","50545"
"2022-08-24","50715"
"2022-08-23","50673"
"2022-08-22","50886"
"2022-08-21","50609"
"2022-08-20","50534"
"2022-08-19","50571"
"2022-08-18","50594"
"2022-08-17","50898"
"2022-08-16","50600"
"2022-08-15","50744"
"2022-08-14","50858"
"2022-08-13","50778"
"2022-08-12","50573"
"2022-08-11","50845"
"2022-08-10","53455"
"2022-08-09","53709"
"2022-08-08","53654"
"2022-08-07","53629"
"2022-08-06","53876"
"2022-08-05","50865"
"2022-08-04","50544"
"2022-08-03","50928"
"2022-08-02","50742"
"2022-08-01","50912"
"2022-07-31","50924"
"2022-07-30","50800"
"2022-07-29","53368"
"2022-07-28","53382"
"2022-07-27","50934"
"2022-07-26","50732"
"2022-07-25","50932"
"2022-07-24","50566"
"2022-07-23","50527"
"2022-07-22","50541"
"2022-07-21","50632"
"2022-07-20","50498"
"2022-07-19","50560"
"2022-07-18","50564"
"2022-07-17","50798"
"2022-07-16","50511"
"2022-07-15","50948"
"2022-07-14","50766"
"2022-07-13","50572"
"2022-07-12","50942"
"2022-07-11","50595"
"2022-07-10","50752"
"2022-07-09","50687"
"2022-07-08","50478"
"2022-07-07","53570"
"2022-07-06","50754"
"2022-07-05","50624"
"2022-07-04","50517"
"2022-07-03","50897"
"2022-07-02","50563"
"2022-07-01","50711"
"2022-06-30","50543"
"2022-06-29","50618"
"2022-06-28","50510"
"2022-06-27","50614"
"2022-06-26","50672"
"2022-06-25","50553"
"2022-06-24","50700"
"2022-06-23","50596"
"2022-06-22","50573"
"2022-06-21","50830"
"2022-06-20","50835"
"2022-06-19","50588"
"2022-06-18","50922"
"2022-06-17","50525"
"2022-06-16","50561"
"2022-06-15","50675"
"2022-06-14","50800"
"2022-06-13","50750"
"2022-06-12","53360"
"2022-06-11","53829"
"2022-06-10","53473"
"2022-06-09","50612"
"2022-06-08","50771"
"2022-06-07","50670"
"2022-06-06","50836"
"2022-06-05","50685"
"2022-06-04","53590"
"2022-06-03","53464"
"2022-06-02","50699"
