ÈÕÆÚ,1ÐÇ,2ÐÇ,3ÐÇ,4ÐÇ,5ÐÇ
2021/1/2,11,0,4,3,35
2021/1/3,6,1,2,1,15
2021/1/4,3,0,0,0,14
2021/1/5,3,1,0,1,11
2021/1/6,0,0,0,0,1
2021/1/7,7,2,1,1,25
2021/1/8,1,0,0,0,6
2021/1/9,3,2,1,1,9
2021/1/10,11,1,2,6,22
2021/1/11,13,2,3,3,26
2021/1/12,1,0,1,1,9
2021/1/13,13,1,0,1,3
2021/1/14,0,0,0,0,0
2021/1/15,19818,3553,7204,11138,94004
2021/1/16,6,1,8,16,129
2021/1/17,13,2,9,27,161
2021/1/18,4,1,6,8,75
2021/1/19,8,0,0,1,23
2021/1/20,10,0,2,1,20
2021/1/21,9,2,2,2,18
2021/1/22,8,0,1,0,15
2021/1/23,8,2,0,2,24
2021/1/24,11,0,9,3,25
2021/1/25,4,1,0,2,15
2021/1/26,11,2,4,7,25
2021/1/27,5,2,4,4,13
2021/1/28,18,1,4,2,43
2021/1/29,10,0,3,0,29
2021/1/30,16,2,1,4,24
2021/1/31,8,0,1,2,28
2021/2/1,6,0,5,7,24
2021/2/2,12,3,2,7,45
2021/2/3,10,2,2,-1,22
2021/2/4,11,2,3,4,41
2021/2/5,9,0,3,3,22
2021/2/6,17,4,3,6,30
2021/2/7,12,0,3,6,32
2021/2/8,16,3,2,3,37
2021/2/9,13,1,2,1,39
2021/2/10,10,0,1,6,26
2021/2/11,12,2,5,2,33
2021/2/12,7,0,1,1,20
2021/2/13,8,2,4,4,28
2021/2/14,2,3,3,1,29
2021/2/15,11,2,6,5,51
2021/2/16,5,1,2,0,28
2021/2/17,7,2,3,3,25
2021/2/18,14,2,6,4,45
2021/2/19,3,3,5,3,41
2021/2/20,1,0,1,0,13
2021/2/21,16,5,4,5,46
2021/2/22,7,0,3,2,33
2021/2/23,11,1,2,10,55
2021/2/24,9,1,4,3,34
2021/2/25,22,5,7,2,40
2021/2/26,20,4,7,1,33
2021/2/27,8,1,2,6,23
2021/2/28,5,2,0,4,35
2021/3/1,6,0,2,1,6
2021/3/2,4,1,2,0,15
2021/3/3,1,1,1,0,12
2021/3/4,0,2,0,0,6
2021/3/5,0,0,0,0,0
2021/3/6,0,0,0,0,0
2021/3/7,0,0,0,0,0
2021/3/8,2,0,0,0,9
2021/3/9,2,0,1,1,8
2021/3/10,3,0,2,1,5
2021/3/11,4,0,1,0,4
2021/3/12,7,0,1,3,14
2021/3/13,13,1,1,2,31
2021/3/14,8,0,3,4,43
2021/3/15,4,1,0,2,14
2021/3/16,0,0,0,0,3
2021/3/17,3,1,0,1,15
2021/3/18,5,0,1,1,8
2021/3/19,2,1,2,0,11
2021/3/20,3,1,1,2,34
2021/3/21,6,1,4,7,26
2021/3/22,1,0,1,1,11
2021/3/23,2,0,1,0,13
2021/3/24,2,1,5,18,112
2021/3/25,7,2,8,29,204
2021/3/26,6,2,8,21,233
2021/3/27,22,3,8,33,243
2021/3/28,7,2,2,8,35
2021/3/29,0,0,3,1,16
2021/3/30,4,0,0,0,14
2021/3/31,3,0,1,1,9
2021/4/1,7,0,1,3,26
2021/4/2,4,1,2,3,24
2021/4/3,16,1,3,11,50
2021/4/4,13,2,3,1,30
2021/4/5,14,3,5,3,36
2021/4/6,1,0,1,3,14
2021/4/7,3,0,0,0,10
2021/4/8,4,1,1,4,24
2021/4/9,4,1,1,0,18
2021/4/10,14,3,2,6,33
2021/4/11,13,2,3,3,22
2021/4/12,1,1,1,1,7
2021/4/13,1,1,1,0,15
2021/4/14,0,1,0,1,-8
2021/4/15,9,1,2,5,16
2021/4/16,5,0,1,3,9
2021/4/17,8,0,5,3,38
2021/4/18,7,2,5,2,23
2021/4/19,1,0,3,2,6
2021/4/20,0,0,0,1,8
2021/4/21,6,0,1,2,11
2021/4/22,7,0,1,3,9
2021/4/23,2,1,0,0,9
2021/4/24,11,2,5,2,24
2021/4/25,5,3,3,1,14
2021/4/26,4,0,0,1,3
2021/4/27,2,0,1,3,10
2021/4/28,4,1,1,0,6
2021/4/29,3,1,2,3,7
2021/4/30,3,3,1,1,4
2021/5/1,12,3,0,7,36
2021/5/2,7,2,5,2,27
2021/5/3,10,2,4,7,22
2021/5/4,8,1,1,2,30
2021/5/5,8,1,3,1,21
2021/5/6,3,0,0,1,5
2021/5/7,4,1,1,0,8
2021/5/8,7,1,-1,0,13
2021/5/9,2,0,2,2,27
2021/5/10,3,0,0,0,8
2021/5/11,3,1,0,0,4
2021/5/12,4,0,1,2,13
2021/5/13,3,1,3,11,90
2021/5/14,7,3,8,22,187
2021/5/15,9,3,11,20,175
2021/5/16,11,3,9,12,146
2021/5/17,3,3,7,16,63
2021/5/18,4,1,1,19,122
2021/5/19,3,1,2,2,6
2021/5/20,1,2,0,1,11
2021/5/21,5,1,1,2,12
2021/5/22,13,2,6,3,21
2021/5/23,2,1,0,6,18
2021/5/24,2,0,0,0,8
2021/5/25,-1,1,2,1,2
2021/5/26,2,0,0,2,0
2021/5/27,2,2,0,0,9
2021/5/28,4,0,1,1,17
2021/5/29,11,0,3,1,32
2021/5/30,12,2,4,1,36
2021/5/31,2,0,0,2,5
2021/6/1,5,0,0,1,3
2021/6/2,8,0,2,0,10
2021/6/3,1,0,0,0,-1
2021/6/4,0,0,0,0,0
2021/6/5,2,1,2,1,14
2021/6/6,11,1,1,6,24
2021/6/7,3,0,2,1,8
2021/6/8,2,1,0,2,4
2021/6/9,3,0,1,1,13
2021/6/10,6,0,1,0,4
2021/6/11,2,1,1,1,8
2021/6/12,5,1,0,5,30
2021/6/13,4,1,1,2,31
2021/6/14,11,0,1,6,31
2021/6/15,1,0,1,0,7
2021/6/16,2,0,0,2,12
2021/6/17,5,1,8,22,136
2021/6/18,8,5,15,29,161
2021/6/19,6,2,6,13,143
2021/6/20,13,2,10,16,129
2021/6/21,5,3,4,24,69
2021/6/22,5,1,4,19,98
2021/6/23,4,1,0,3,11
2021/6/24,4,3,7,8,121
2021/6/25,7,1,12,34,183
2021/6/26,8,2,7,21,186
2021/6/27,14,4,6,20,145
2021/6/28,8,0,10,15,97
2021/6/29,7,3,4,7,47
2021/6/30,-1,0,0,0,0
2021/7/1,-1,-1,0,0,0
2021/7/2,10,0,4,6,24
2021/7/3,12,1,3,2,22
2021/7/4,4,0,2,1,23
2021/7/5,7,0,2,2,20
2021/7/6,8,6,2,3,24
2021/7/7,5,2,4,2,24
2021/7/8,8,0,0,7,17
2021/7/9,2,3,2,6,38
2021/7/10,7,2,4,1,25
2021/7/11,9,0,3,2,20
2021/7/12,9,1,3,2,30
2021/7/13,4,1,1,3,15
2021/7/14,6,1,2,4,20
2021/7/15,21,3,4,9,35
2021/7/16,11,2,4,1,26
2021/7/17,12,1,3,10,32
2021/7/18,9,-1,2,4,22
2021/7/19,8,1,1,4,35
2021/7/20,13,0,2,4,24
2021/7/21,8,4,1,5,31
2021/7/22,12,3,6,5,26
2021/7/23,7,1,3,4,27
2021/7/24,7,3,3,4,38
2021/7/25,4,1,2,4,22
2021/7/26,14,2,7,6,32
2021/7/27,10,3,5,8,39
2021/7/28,9,2,5,6,28
2021/7/29,12,3,3,3,35
2021/7/30,8,1,4,5,19
2021/7/31,4,0,4,6,16
2021/8/1,7,3,7,6,39
2021/8/2,10,4,5,3,33
2021/8/3,3,2,0,4,20
2021/8/4,11,2,2,6,37
2021/8/5,10,1,14,36,268
2021/8/6,18,5,20,49,305
2021/8/7,16,4,14,31,197
2021/8/8,18,3,3,3,24
2021/8/9,12,0,4,4,36
2021/8/10,7,2,7,5,30
2021/8/11,4,4,2,3,31
2021/8/12,14,1,7,7,39
2021/8/13,19,2,2,10,38
2021/8/14,15,3,5,2,28
2021/8/15,10,1,4,6,33
2021/8/16,23,1,1,6,35
2021/8/17,12,1,1,2,23
2021/8/18,10,3,5,7,36
2021/8/19,12,4,16,45,203
2021/8/20,32,5,20,57,370
2021/8/21,17,2,9,29,168
2021/8/22,8,1,4,6,38
2021/8/23,9,3,3,3,36
2021/8/24,6,3,3,5,35
2021/8/25,14,2,3,3,32
2021/8/26,18,4,20,47,229
2021/8/27,9,2,25,50,293
2021/8/28,16,3,26,43,223
2021/8/29,5,4,3,0,23
2021/8/30,10,1,1,1,22
2021/8/31,16,3,3,6,23
2021/9/1,41,5,7,7,86
2021/9/2,34,4,12,33,280
2021/9/3,23,3,17,33,267
2021/9/4,62,6,16,23,312
2021/9/5,36,9,2,6,121
2021/9/6,10,0,0,3,38
2021/9/7,8,0,1,0,31
2021/9/8,5,0,1,0,28
2021/9/9,9,2,2,4,37
2021/9/10,10,1,1,3,41
2021/9/11,21,0,6,6,77
2021/9/12,16,1,4,4,62
2021/9/13,10,0,1,3,23
2021/9/14,4,0,0,2,18
2021/9/15,4,0,3,1,12
2021/9/16,3,0,1,1,21
2021/9/17,7,0,1,0,19
2021/9/18,19,3,9,31,137
2021/9/19,25,2,20,31,238
2021/9/20,21,3,14,23,188
2021/9/21,16,2,5,13,139
2021/9/22,2,1,2,0,18
2021/9/23,4,3,-1,0,14
2021/9/24,4,0,0,2,17
2021/9/25,12,1,2,0,27
2021/9/26,3,0,4,11,68
2021/9/27,13,2,9,23,161
2021/9/28,9,0,11,30,151
2021/9/29,4,0,6,17,102
2021/9/30,8,1,10,18,133
2021/10/1,0,1,0,4,27
2021/10/2,0,0,0,0,0
2021/10/3,0,0,0,0,0
2021/10/4,0,0,0,0,0
2021/10/5,0,0,0,0,0
2021/10/6,0,0,0,0,0
2021/10/7,0,0,0,0,0
2021/10/8,6,2,2,12,85
2021/10/9,5,1,3,10,19
2021/10/10,10,0,2,3,26
2021/10/11,2,0,1,0,4
2021/10/12,4,2,8,26,132
2021/10/13,2,2,11,18,145
2021/10/14,17,3,10,22,116
2021/10/15,33,5,10,27,144
2021/10/16,9,3,14,27,119
2021/10/17,-86,-4,2,4,-7
2021/10/18,-119,-3,-4,-3,-41
2021/10/19,-77,-3,-3,-2,-31
2021/10/20,-7,1,0,0,-14
2021/10/21,-6,-1,1,1,-6
2021/10/22,-9,1,1,-3,-11
2021/10/23,10,5,-2,3,20
2021/10/24,2,3,-1,1,-10
2021/10/25,-5,0,-2,-2,-4
2021/10/26,-6,2,-2,-2,-3
2021/10/27,2,0,-3,0,-6
2021/10/28,6,1,1,1,3
2021/10/29,9,-2,2,3,16
2021/10/30,16,3,6,7,31
2021/10/31,12,2,2,0,7
2021/11/1,3,1,4,1,8
2021/11/2,1,1,-1,1,9
2021/11/3,3,1,0,0,12
2021/11/4,0,2,3,10,76
2021/11/5,10,0,10,13,137
2021/11/6,22,4,15,21,183
2021/11/7,19,1,8,17,134
2021/11/8,0,1,7,16,78
2021/11/9,9,0,4,11,79
2021/11/10,3,2,-1,1,38
2021/11/11,5,4,3,14,109
2021/11/12,15,4,13,28,194
2021/11/13,15,5,9,12,170
2021/11/14,14,1,8,8,131
2021/11/15,4,1,2,11,87
2021/11/16,7,3,8,9,57
2021/11/17,3,1,1,0,10
2021/11/18,8,2,1,1,12
2021/11/19,10,1,1,2,14
2021/11/20,12,2,2,4,33
2021/11/21,12,4,6,4,28
2021/11/22,4,0,1,2,7
2021/11/23,4,3,1,2,8
2021/11/24,10,1,0,1,5
2021/11/25,7,1,3,0,5
2021/11/26,11,1,2,0,7
