"日期","1星","2星","3星","4星","5星"
"2021-02-15","14","1","3","1","71"
"2021-02-16","12","2","4","12","55"
"2021-02-17","6","1","7","9","56"
"2021-02-18","11","-1","0","4","44"
"2021-02-19","7","2","6","6","37"
"2021-02-20","17","5","4","18","92"
"2021-02-21","7","4","1","8","28"
"2021-02-22","-2","1","1","2","29"
"2021-02-23","7","1","14","16","171"
"2021-02-24","15","7","12","16","205"
"2021-02-25","5","2","3","19","109"
"2021-02-26","15","0","5","27","131"
"2021-02-27","17","1","-2","18","123"
"2021-02-28","3","2","9","14","95"
"2021-03-01","1","0","2","1","21"
"2021-03-02","5","1","3","8","25"
"2021-03-03","4","1","3","4","41"
"2021-03-04","0","0","0","0","0"
"2021-03-05","0","0","-1","0","0"
"2021-03-06","0","0","0","0","0"
"2021-03-07","0","0","0","0","0"
"2021-03-08","0","0","0","0","0"
"2021-03-09","0","0","0","0","0"
"2021-03-10","0","0","0","0","0"
"2021-03-11","0","0","0","0","0"
"2021-03-12","0","0","0","0","0"
"2021-03-13","0","0","0","0","0"
"2021-03-14","0","0","0","0","0"
"2021-03-15","2","1","3","4","17"
"2021-03-16","5","0","1","5","24"
"2021-03-17","6","0","1","11","27"
"2021-03-18","2","1","1","4","19"
"2021-03-19","4","1","2","11","36"
"2021-03-20","15","1","5","18","84"
"2021-03-21","9","3","1","4","50"
"2021-03-22","2","0","3","5","20"
"2021-03-23","3","3","1","2","17"
"2021-03-24","2","0","3","1","16"
"2021-03-25","27","4","11","19","211"
"2021-03-26","35","6","22","19","117"
"2021-03-27","30","3","20","24","157"
"2021-03-28","10","1","3","16","76"
"2021-03-29","2","0","0","4","12"
"2021-03-30","3","0","1","1","20"
"2021-03-31","6","1","2","0","17"
"2021-04-01","6","0","2","6","39"
"2021-04-02","14","5","10","10","84"
"2021-04-03","20","3","14","22","167"
"2021-04-04","14","2","10","12","118"
"2021-04-05","13","2","6","11","63"
"2021-04-06","2","4","3","2","26"
"2021-04-07","5","2","2","1","18"
"2021-04-08","0","2","2","3","27"
"2021-04-09","3","1","5","3","21"
"2021-04-10","11","1","7","6","63"
"2021-04-11","9","3","6","7","37"
"2021-04-12","3","2","0","2","16"
"2021-04-13","9","0","2","3","33"
"2021-04-14","3","1","4","9","46"
"2021-04-15","2","0","8","3","55"
"2021-04-16","5","1","-1","11","63"
"2021-04-17","6","0","2","26","122"
"2021-04-18","13","1","2","10","79"
"2021-04-19","2","2","2","2","20"
"2021-04-20","2","0","1","2","23"
"2021-04-21","2","1","3","-1","10"
"2021-04-22","9","3","1","4","16"
"2021-04-23","7","0","-1","4","18"
"2021-04-24","13","-1","5","6","57"
"2021-04-25","4","2","1","1","9"
"2021-04-26","5","1","4","1","19"
"2021-04-27","1","2","0","3","13"
"2021-04-28","1","0","1","1","20"
"2021-04-29","3","1","2","5","17"
"2021-04-30","3","0","2","5","27"
"2021-05-01","4","2","7","12","58"
"2021-05-02","9","2","5","7","45"
"2021-05-03","2","2","12","9","64"
"2021-05-04","10","2","0","15","57"
"2021-05-05","3","2","1","3","43"
"2021-05-06","-3","1","5","2","16"
"2021-05-07","1","3","2","2","14"
"2021-05-08","5","0","3","9","24"
"2021-05-09","7","1","7","5","67"
"2021-05-10","1","-1","4","-1","29"
"2021-05-11","2","0","0","1","12"
"2021-05-12","3","1","1","0","18"
"2021-05-13","-1","0","5","1","16"
