"日期","收入预估~iPhone"
"2023-09-03","566420"
"2023-09-02","579751"
"2023-09-01","769511"
"2023-08-31","570811"
"2023-08-30","729825"
"2023-08-29","1251040"
"2023-08-28","1238090"
"2023-08-27","1387254"
"2023-08-26","1251315"
"2023-08-25","1421212"
"2023-08-24","717792"
"2023-08-23","1152737"
"2023-08-22","770102"
"2023-08-21","735695"
"2023-08-20","520854"
"2023-08-19","516855"
"2023-08-18","558560"
"2023-08-17","577188"
"2023-08-16","690300"
"2023-08-15","580106"
"2023-08-14","722919"
"2023-08-13","614460"
"2023-08-12","722079"
"2023-08-11","678697"
"2023-08-10","616058"
"2023-08-09","578402"
"2023-08-08","717484"
"2023-08-07","715972"
"2023-08-06","717718"
"2023-08-05","860929"
"2023-08-04","435216"
"2023-08-03","520824"
"2023-08-02","581397"
"2023-08-01","1294285"
"2023-07-31","719490"
"2023-07-30","721869"
"2023-07-29","773891"
"2023-07-28","979197"
"2023-07-27","597892"
"2023-07-26","718629"
"2023-07-25","1170990"
"2023-07-24","1259292"
"2023-07-23","1607788"
"2023-07-22","1522125"
"2023-07-21","1814824"
"2023-07-20","409416"
"2023-07-19","768575"
"2023-07-18","507372"
"2023-07-17","478146"
"2023-07-16","477897"
"2023-07-15","573171"
"2023-07-14","991768"
"2023-07-13","570158"
"2023-07-12","591861"
"2023-07-11","722362"
"2023-07-10","612511"
"2023-07-09","555519"
"2023-07-08","471861"
"2023-07-07","567157"
"2023-07-06","1065874"
"2023-07-05","409385"
"2023-07-04","450586"
"2023-07-03","449178"
"2023-07-02","498404"
"2023-07-01","714644"
"2023-06-30","710051"
"2023-06-29","1698179"
"2023-06-28","1336307"
"2023-06-27","412659"
"2023-06-26","474540"
"2023-06-25","447348"
"2023-06-24","477272"
"2023-06-23","507430"
"2023-06-22","1393890"
"2023-06-21","1835594"
"2023-06-20","518301"
"2023-06-19","592974"
"2023-06-18","1152786"
"2023-06-17","1427124"
"2023-06-16","679859"
"2023-06-15","580402"
"2023-06-14","1009585"
"2023-06-13","1786380"
"2023-06-12","914922"
"2023-06-11","631696"
"2023-06-10","728967"
"2023-06-09","771253"
"2023-06-08","722043"
"2023-06-07","824611"
"2023-06-06","610045"
"2023-06-05","565199"
"2023-06-04","638037"
"2023-06-03","690689"
"2023-06-02","1784963"
"2023-06-01","1434117"
"2023-05-31","1154668"
"2023-05-30","1832788"
"2023-05-29","1841961"
"2023-05-28","1793275"
"2023-05-27","1555054"
"2023-05-26","913967"
"2023-05-25","353689"
"2023-05-24","351766"
"2023-05-23","588080"
"2023-05-22","477604"
"2023-05-21","479790"
"2023-05-20","573148"
"2023-05-19","677265"
"2023-05-18","503780"
"2023-05-17","426475"
"2023-05-16","323472"
"2023-05-15","313323"
"2023-05-14","391497"
"2023-05-13","396854"
"2023-05-12","520586"
"2023-05-11","799367"
"2023-05-10","884038"
"2023-05-09","309387"
"2023-05-08","309099"
"2023-05-07","307063"
"2023-05-06","310999"
"2023-05-05","313269"
"2023-05-04","313093"
"2023-05-03","284095"
"2023-05-02","311372"
"2023-05-01","351858"
"2023-04-30","500551"
"2023-04-29","591279"
"2023-04-28","596397"
"2023-04-27","237918"
"2023-04-26","267216"
"2023-04-25","297765"
"2023-04-24","393071"
