ÈÕÆÚ,1ÐÇ,2ÐÇ,3ÐÇ,4ÐÇ,5ÐÇ,
2020/7/19,27,5,5,5,86,3.921875
2020/7/20,23,5,9,6,49,3.576086957
2020/7/21,25,0,5,7,64,3.841584158
2020/7/22,14,2,5,7,59,4.091954023
2020/7/23,19,6,6,9,72,3.973214286
2020/7/24,15,2,6,5,59,4.045977011
2020/7/25,23,2,11,5,63,3.798076923
2020/7/26,25,1,6,9,62,3.796116505
2020/7/27,12,2,1,5,66,4.290697674
2020/7/28,14,3,5,5,49,3.947368421
2020/7/29,15,2,7,4,51,3.936708861
2020/7/30,26,2,13,4,82,3.897637795
2020/7/31,26,2,7,6,51,3.586956522
2020/8/1,16,0,4,6,57,4.060240964
2020/8/2,16,3,7,7,52,3.894117647
2020/8/3,16,2,4,5,42,3.797101449
2020/8/4,14,5,6,3,61,4.033707865
2020/8/5,11,3,6,7,67,4.234042553
2020/8/6,27,6,8,16,66,3.715447154
2020/8/7,15,3,3,9,47,3.909090909
2020/8/8,20,4,1,5,49,3.746835443
2020/8/9,18,4,8,6,60,3.895833333
2020/8/10,5,2,2,4,42,4.381818182
2020/8/11,10,4,8,7,54,4.096385542
2020/8/12,10,2,5,5,60,4.256097561
2020/8/13,23,4,5,11,91,4.067164179
2020/8/14,16,4,2,7,53,3.93902439
2020/8/15,18,6,8,12,62,3.886792453
2020/8/16,14,2,4,4,54,4.051282051
2020/8/17,11,4,5,8,71,4.252525253
2020/8/18,17,1,10,5,101,4.28358209
2020/8/19,10,0,3,11,59,4.313253012
2020/8/20,22,1,3,10,63,3.919191919
2020/8/21,9,0,5,7,63,4.369047619
2020/8/22,22,5,6,7,71,3.900900901
2020/8/23,10,1,4,3,38,4.035714286
2020/8/24,15,6,11,6,53,3.835164835
2020/8/25,14,0,2,3,51,4.1
2020/8/26,8,3,10,4,59,4.226190476
2020/8/27,17,7,6,8,66,3.951923077
2020/8/28,21,5,10,7,89,4.045454545
2020/8/29,12,2,7,5,51,4.051948052
2020/8/30,11,5,2,4,32,3.759259259
2020/8/31,9,1,2,2,30,3.977272727
2020/9/1,3,0,1,2,14,4.2
2020/9/2,4,0,1,1,11,3.882352941
2020/9/3,3,0,0,2,22,4.481481481
2020/9/4,-1,3,3,1,23,4.586206897
2020/9/5,2,1,0,0,10,4.153846154
2020/9/6,13,2,1,4,68,4.272727273
2020/9/7,2,2,0,1,7,3.75
2020/9/8,4,1,0,0,12,3.882352941
2020/9/9,2,1,1,2,11,4.117647059
2020/9/10,3,0,2,2,20,4.333333333
2020/9/11,3,1,0,1,14,4.157894737
2020/9/12,4,2,1,12,45,4.4375
2020/9/13,10,2,5,4,41,4.032258065
2020/9/14,1,1,1,3,8,4.142857143
2020/9/15,3,2,2,2,10,3.736842105
2020/9/16,1,0,0,1,2,3.75
2020/9/17,3,3,1,1,17,4.04
2020/9/18,3,1,1,2,24,4.387096774
2020/9/19,9,1,2,2,54,4.338235294
2020/9/20,8,3,1,3,47,4.258064516
2020/9/21,6,0,2,2,10,3.5
2020/9/22,0,1,0,0,8,4.666666667
2020/9/23,3,1,1,2,18,4.24
2020/9/24,1,0,0,2,7,4.4
