日期,一星,二星,三星,四星,五星,平均评分
2020/7/23,72,23,54,102,1400,4.656571775
2020/7/24,50,17,16,74,1320,4.758293839
2020/7/25,51,29,36,74,1274,4.701502732
2020/7/26,43,27,43,88,1332,4.721461187
2020/7/27,41,18,35,68,1122,4.722741433
2020/7/28,35,21,40,56,1028,4.712711864
2020/7/29,29,16,42,64,1103,4.751196172
2020/7/30,52,19,55,69,1115,4.661068702
2020/7/31,34,22,40,98,1117,4.710144928
2020/8/1,52,9,26,69,1111,4.71902131
2020/8/2,45,34,38,104,1129,4.657777778
2020/8/3,57,20,22,52,1021,4.672354949
2020/8/4,46,17,51,62,971,4.652136007
2020/8/5,32,18,54,74,911,4.665748393
2020/8/6,49,33,26,70,944,4.628342246
2020/8/7,60,16,56,82,1127,4.640566741
2020/8/8,54,17,23,91,1084,4.681639086
2020/8/9,40,18,37,99,1102,4.701388889
2020/8/10,46,13,21,79,1092,4.725019984
2020/8/11,42,13,38,73,1012,4.697792869
2020/8/12,49,17,39,77,1081,4.681710214
2020/8/13,56,13,36,90,1029,4.652777778
2020/8/14,41,-1,13,63,896,4.752964427
2020/8/15,52,18,37,91,1161,4.685798381
2020/8/16,31,7,62,69,1039,4.720198675
2020/8/17,44,27,36,86,1102,4.67953668
2020/8/18,51,31,28,102,975,4.616680708
2020/8/19,44,29,39,61,1027,4.665
2020/8/20,10,-7,-17,-8,-144,4.861445783
2020/8/21,48,20,39,82,1143,4.690690691
2020/8/22,29,20,29,79,1051,4.74089404
2020/8/23,76,32,25,66,1157,4.619469027
2020/8/24,42,17,37,60,1101,4.719172633
2020/8/25,47,24,30,84,1116,4.689469639
2020/8/26,59,19,26,61,1061,4.668841762
2020/8/27,15,14,27,63,809,4.764008621
2020/8/28,59,36,51,108,1368,4.658446363
2020/8/29,39,10,38,96,1219,4.744650499
2020/8/30,41,14,31,75,1063,4.719771242
2020/8/31,20,17,17,54,911,4.785083415
2020/9/1,34,18,28,50,710,4.647619048
2020/9/2,5,4,10,26,314,4.782729805
2020/9/3,12,0,9,20,264,4.718032787
2020/9/4,14,5,6,21,254,4.653333333
2020/9/5,13,-5,1,25,425,4.860566449
2020/9/6,35,12,31,60,938,4.723048327
2020/9/7,20,17,26,62,845,4.74742268
2020/9/8,20,6,10,24,255,4.549206349
2020/9/9,19,5,4,22,271,4.62305296
2020/9/10,1,1,2,2,31,4.648648649
2020/9/11,8,3,11,33,473,4.818181818
2020/9/12,13,14,7,14,341,4.686375321
2020/9/13,23,13,35,54,965,4.766055046
2020/9/14,23,10,17,41,912,4.803589232
