日期,1星,2星,3星,4星,5星,abs1,abs2,abs3,abs4,abs5,平均评分
2020/8/8,14,4,18,17,111,14,4,18,17,111,4.262195122
2020/8/9,7,-1,5,7,70,7,1,5,7,70,4.466666667
2020/8/10,26,2,5,15,79,26,2,5,15,79,3.937007874
2020/8/11,18,4,15,37,234,18,4,15,37,234,4.50974026
2020/8/12,3,8,100,287,1870,3,8,100,287,1870,4.769400353
2020/8/13,25,11,54,126,801,25,11,54,126,801,4.63913471
2020/8/14,10,5,54,93,604,10,5,54,93,604,4.665796345
2020/8/15,12,4,32,68,411,12,4,32,68,411,4.635673624
2020/8/16,18,3,25,70,407,18,3,25,70,407,4.615678776
2020/8/17,6,-1,17,65,342,6,1,17,65,342,4.707656613
2020/8/18,10,6,36,82,447,10,6,36,82,447,4.635111876
2020/8/19,14,1,17,53,280,14,1,17,53,280,4.6
2020/8/20,15,6,20,77,408,15,6,20,77,408,4.629277567
2020/8/21,21,7,10,41,229,21,7,10,41,229,4.461038961
2020/8/22,13,2,20,40,238,13,2,20,40,238,4.559105431
2020/8/23,11,0,13,28,204,11,0,13,28,204,4.6171875
2020/8/24,15,4,4,50,226,15,4,4,50,226,4.565217391
2020/8/25,10,2,11,30,165,10,2,11,30,165,4.550458716
2020/8/26,9,2,14,47,198,9,2,14,47,198,4.566666667
2020/8/27,16,1,12,37,240,16,1,12,37,240,4.581699346
2020/8/28,19,4,7,37,330,19,4,7,37,330,4.649874055
2020/8/29,10,2,6,38,204,10,2,6,38,204,4.630769231
2020/8/30,15,3,8,23,168,15,3,8,23,168,4.502304147
2020/8/31,12,1,8,19,161,12,1,8,19,161,4.572139303
2020/9/1,5,2,4,10,89,5,2,4,10,89,4.6
2020/9/2,3,1,4,15,72,3,1,4,15,72,4.6
2020/9/3,6,1,4,5,45,6,1,4,5,45,4.344262295
2020/9/4,2,-2,5,2,19,2,2,5,2,19,4.133333333
2020/9/5,8,2,12,14,133,8,2,12,14,133,4.550295858
2020/9/6,11,6,12,23,238,11,6,12,23,238,4.624137931
2020/9/7,-1,2,2,7,33,1,2,2,7,33,4.533333333
2020/9/8,3,2,1,10,68,3,2,1,10,68,4.642857143
2020/9/9,-1,3,2,6,38,1,3,2,6,38,4.54
2020/9/10,3,-1,5,5,28,3,1,5,5,28,4.285714286
2020/9/11,8,-1,5,8,52,8,1,5,8,52,4.283783784
2020/9/12,12,1,5,23,139,12,1,5,23,139,4.533333333
2020/9/13,10,2,5,12,121,10,2,5,12,121,4.546666667
2020/9/14,2,2,5,2,31,2,2,5,2,31,4.380952381
2020/9/15,3,0,5,4,38,3,0,5,4,38,4.48
2020/9/16,2,1,0,5,20,2,1,0,5,20,4.428571429
2020/9/17,1,0,0,4,13,1,0,0,4,13,4.555555556
2020/9/18,4,2,2,0,29,4,2,2,0,29,4.297297297
2020/9/19,9,1,11,9,85,9,1,11,9,85,4.391304348
2020/9/20,16,2,8,17,99,16,2,8,17,99,4.274647887
2020/9/21,1,0,0,2,13,1,0,0,2,13,4.625
2020/9/22,1,1,5,5,22,1,1,5,5,22,4.352941176
2020/9/23,5,-1,2,5,10,5,1,2,5,10,3.608695652
2020/9/24,0,0,0,0,21,0,0,0,0,21,5
2020/9/25,-2,0,3,2,36,2,0,3,2,36,4.627906977
2020/9/26,11,-1,10,13,86,11,1,10,13,86,4.338842975
2020/9/27,6,-1,1,4,33,6,1,1,4,33,4.266666667
2020/9/28,4,1,0,2,23,4,1,0,2,23,4.3
2020/9/29,1,0,0,7,22,1,0,0,7,22,4.633333333
2020/9/30,2,2,0,11,45,2,2,0,11,45,4.583333333
