date,VIVO,OPPO,3,6,7,Downloads
2021/2/25,612083,859669,64635,11746626,113654,13396667
2021/2/26,38474,605913,66553,938826,112576,1762342
2021/2/27,66702,1025670,67098,1415940,112616,2688026
2021/2/28,678232,535526,65033,1522645,113060,2914496
2021/3/1,530500,401598,41536,1177489,113924,2265047
2021/3/2,303455,409559,31842,879118,113544,1737518
2021/3/3,278581,184269,33582,625635,112767,1234834
2021/3/4,260261,308152,27353,719576,113200,1428542
2021/3/5,8326,689912,43673,887349,112821,1742081
2021/3/6,281426,466411,75357,1054173,112580,1989947
2021/3/7,283912,1059867,63984,1710710,110182,3228655
2021/3/8,596376,1045980,39682,11909508,139039,13730585
2021/3/9,273675,0,31101,439781,109596,854153
2021/3/10,251214,414754,28953,822621,112592,1630134
2021/3/11,4396,328466,31067,494002,112617,970548
2021/3/12,21345,636206,45258,837457,109816,1650082
2021/3/13,298638,1276002,81926,1873290,108821,3638677
2021/3/14,288593,546633,64886,1195358,107393,2202863
2021/3/15,612039,465650,35868,1336684,91703,2541944
2021/3/16,252242,339992,33034,625268,70627,1321163
2021/3/17,252009,267119,33008,810394,106740,1469270
2021/3/18,255100,446576,24951,855024,139910,1721561
2021/3/19,9461,252365,36656,2503326,108990,2910798
2021/3/20,265046,1058329,64165,1594013,108986,3090539
2021/3/21,306032,674307,57145,1324017,107007,2468508
2021/3/22,595075,504256,31312,3425102,108696,4664441
2021/3/23,239223,361905,28660,748395,99997,1478180
2021/3/24,247914,164918,28748,558045,107518,1107143
2021/3/25,247096,293602,25192,683001,110075,1358966
2021/3/26,13324,297043,28291,459194,113139,910991
2021/3/27,267944,892420,78730,1441108,124418,2804620
2021/3/28,302386,1047034,57150,1409257,108118,2923945
2021/3/29,610860,344105,30457,1483051,108408,2576881
2021/3/30,240950,218739,27056,487869,108208,1082822
2021/3/31,242693,325171,21738,836626,108356,1534584
2021/4/1,19017,285639,23724,460915,104239,893534
2021/4/2,30142,692722,44332,768415,96142,1631753
2021/4/3,372690,980275,78840,1433419,87314,2952538
2021/4/4,407579,931971,66298,1409364,107323,2922535
2021/4/5,916414,799131,53016,1771897,107110,3647568
2021/4/6,597350,338960,27905,2287631,98557,3350403
2021/4/7,243626,191222,23622,630665,108287,1197422
2021/4/8,238362,616887,216481,11319625,108154,12499509
2021/4/9,418071,1534039,292816,5906355,108248,8259529
2021/4/10,81561,10036091,249072,10371690,106616,20845030
2021/4/11,207616,4043061,193710,9084291,107010,13635688
2021/4/12,650919,1437396,125105,5254068,106712,7574200
2021/4/13,262935,583980,89766,1394118,124445,2455244
2021/4/14,268889,604256,87232,1282225,150207,2392809
2021/4/15,36305,671707,62069,1045764,110370,1926215
2021/4/16,307017,381522,97464,3144620,108004,4038627
2021/4/17,259521,1378673,135870,1774064,106949,3655077
2021/4/18,264958,948332,119495,1663662,107258,3103705
2021/4/19,588663,558097,75277,1222037,107005,2551079
2021/4/20,236922,354778,55159,1541838,39006,2227703
2021/4/21,240658,255876,42660,705397,108117,1352708
2021/4/22,236946,286493,37307,718011,107342,1386099
2021/4/23,8568,616687,42545,822894,108869,1599563
2021/4/24,209874,742574,60689,3636067,106762,4755966
2021/4/25,185871,421060,41736,1235723,108634,1993024
2021/4/26,273187,273151,25742,793300,115752,1481132
2021/4/27,235652,342426,27210,800554,108986,1514828
2021/4/28,7437,342203,29920,577303,110043,1066906
2021/4/29,29228,320646,29844,2711192,108016,3198926
2021/4/30,30566,475765,61214,728470,106874,1402889
2021/5/1,493438,1458946,102142,2539856,107480,4701862
2021/5/2,401104,1004259,86476,1681561,76346,3249746
2021/5/3,951486,1182058,82244,2801197,75093,5092078
2021/5/4,837727,1159049,76047,2195612,58339,4326774
2021/5/5,723330,809628,69630,1709338,46623,3358549
2021/5/6,572050,329266,42083,1920638,79314,2943351
2021/5/7,248302,344261,36282,1087177,107474,1823496
2021/5/8,243091,144791,36175,2720834,90560,3235451
2021/5/9,177240,909486,53395,1211247,75373,2426741
2021/5/10,161407,359558,30549,1047315,90637,1689466
2021/5/11,1045636,276200,26399,1521661,79096,2948992
2021/5/12,238903,306153,23457,745976,126622,1441111
2021/5/13,976738,188626,23829,1361085,106610,2656888
2021/5/14,1208687,382525,37121,1629465,100335,3358133
2021/5/15,2358282,1252852,67612,3755810,81462,7516018
2021/5/16,2423240,697028,58290,3741448,66560,6986566
2021/5/17,3296862,191300,32402,3814857,64075,7399496
2021/5/18,3067209,237685,31521,3453784,68030,6858229
2021/5/19,250650,445544,16909,883956,107403,1704462
2021/5/20,752344,332939,26449,1161373,106812,2379917
2021/5/21,256225,170849,26578,747187,108065,1308904
2021/5/22,944310,1120181,47744,2364582,108765,4585582
