"date","earning"
"2023-12-03","1533672"
"2023-12-02","1899351"
"2023-12-01","1884390"
"2023-11-30","1888551"
"2023-11-29","1894209"
"2023-11-28","1886415"
"2023-11-27","1886980"
"2023-11-26","1891866"
"2023-11-25","1889690"
"2023-11-24","1892285"
"2023-11-23","1878138"
"2023-11-22","1885160"
"2023-11-21","1882936"
"2023-11-20","1902366"
"2023-11-19","1881670"
"2023-11-18","1890489"
"2023-11-17","1890955"
"2023-11-16","1848943"
"2023-11-15","1705507"
"2023-11-14","1874389"
"2023-11-13","1826655"
"2023-11-12","1812259"
"2023-11-11","1848222"
"2023-11-10","1789396"
"2023-11-09","1846534"
"2023-11-08","1370192"
"2023-11-07","1897830"
"2023-11-06","1881013"
"2023-11-05","1884430"
"2023-11-04","1878904"
"2023-11-03","1886607"
"2023-11-02","1889941"
"2023-11-01","1877592"
"2023-10-31","1897925"
"2023-10-30","1888968"
"2023-10-29","1886735"
"2023-10-28","1885219"
"2023-10-27","1285089"
"2023-10-26","1889201"
"2023-10-25","1334731"
"2023-10-24","1873620"
"2023-10-23","1882756"
"2023-10-22","1883380"
"2023-10-21","1891950"
"2023-10-20","1883873"
"2023-10-19","1889681"
"2023-10-18","1883953"
"2023-10-17","1786704"
"2023-10-16","1895826"
"2023-10-15","1899737"
"2023-10-14","1883058"
"2023-10-13","1874597"
"2023-10-12","1843548"
"2023-10-11","1446981"
"2023-10-10","1892056"
"2023-10-09","1879579"
"2023-10-08","1882433"
"2023-10-07","1887065"
"2023-10-06","1878390"
"2023-10-05","1890930"
"2023-10-04","1898660"
"2023-10-03","1874643"
"2023-10-02","1877831"
"2023-10-01","1884183"
"2023-09-30","1882858"
"2023-09-29","1886485"
"2023-09-28","1902399"
"2023-09-27","1792781"
"2023-09-26","1890822"
"2023-09-25","1883566"
"2023-09-24","1883685"
"2023-09-23","1887359"
"2023-09-22","1888192"
"2023-09-21","1895661"
"2023-09-20","1791573"
"2023-09-19","1899181"
"2023-09-18","1886506"
"2023-09-17","1890955"
"2023-09-16","1888953"
"2023-09-15","1886105"
"2023-09-14","1839442"
"2023-09-13","1880398"
"2023-09-12","1875615"
"2023-09-11","1898171"
"2023-09-10","1879739"
"2023-09-09","1894218"
"2023-09-08","1892270"
"2023-09-07","1883037"
"2023-09-06","1882859"
"2023-09-05","1882766"
"2023-09-04","1898046"
"2023-09-03","1889062"
"2023-09-02","1899662"
"2023-09-01","1880794"
"2023-08-31","1845356"
"2023-08-30","1335778"
"2023-08-29","1901313"
"2023-08-28","1890830"
"2023-08-27","1884879"
"2023-08-26","1897834"
"2023-08-25","1882366"
"2023-08-24","1887633"
"2023-08-23","1890923"
"2023-08-22","1884465"
"2023-08-21","1889894"
"2023-08-20","1896759"
"2023-08-19","1890591"
"2023-08-18","1881998"
"2023-08-17","1848155"
"2023-08-16","1889716"
"2023-08-15","1884153"
"2023-08-14","1876981"
"2023-08-13","1900339"
"2023-08-12","1886652"
"2023-08-11","1885025"
"2023-08-10","1898251"
"2023-08-09","1341660"
"2023-08-08","1880088"
"2023-08-07","1890298"
"2023-08-06","1891999"
"2023-08-05","1873633"
"2023-08-04","1791764"
"2023-08-03","1885518"
"2023-08-02","1881841"
"2023-08-01","1780635"
"2023-07-31","1890166"
"2023-07-30","1891358"
"2023-07-29","1893773"
"2023-07-28","1885492"
"2023-07-27","1896883"
"2023-07-26","1883885"
"2023-07-25","1881789"
"2023-07-24","1876460"
"2023-07-23","1882632"
"2023-07-22","1892558"
"2023-07-21","1884078"
"2023-07-20","1842776"
"2023-07-19","1339343"
"2023-07-18","1886949"
"2023-07-17","1876748"
"2023-07-16","1878820"
"2023-07-15","1892472"
"2023-07-14","1885390"
"2023-07-13","1833101"
"2023-07-12","1887183"
"2023-07-11","1881323"
"2023-07-10","1891560"
"2023-07-09","1893652"
"2023-07-08","1888296"
"2023-07-07","1819274"
"2023-07-06","1828046"
"2023-07-05","1833409"
"2023-07-04","1843603"
"2023-07-03","1896921"
"2023-07-02","1886246"
"2023-07-01","1893234"
"2023-06-30","1781116"
